orbit,Itinerary_String,roots
9,"[0, 3, 5, 6]","[1.618033988749891, 1.173984996705329]"
11,"[0, 4, 6, 7]","[1.8561160164311503, 1.0704065196303374]"
11,"[0, 4, 7, 8]","[1.8408162459112045, 1.080706743032519]"
11,"[0, 3, 4, 5, 7, 8]","[1.7305484699742233, 1.0992369491103717]"
11,"[0, 3, 5, 6, 7, 8]","[1.6489823491472964, 1.127265726437875]"
11,"[0, 3, 5, 6, 8, 9]","[1.6260369215017934, 1.1577141640955662]"
12,"[0, 4, 7, 8]","[1.8392867552141636, 1.1278384855616803]"
12,"[0, 3, 5, 6, 8, 9]","[1.6180339887498967, 1.225226781329577]"
12,"[0, 2, 3, 4, 6, 8, 10, 11]","[1.1278384855616448, 1.000008429533387]"
13,"[0, 4, 7, 9]","[1.8485195418527605, 1.0614341380063088]"
13,"[0, 5, 7, 8]","[1.936368054690735, 1.0411103813828981]"
13,"[0, 5, 8, 9]","[1.9308388247270116, 1.044555490617192]"
13,"[0, 5, 9, 10]","[1.9279014746993588, 1.0483794526367123]"
13,"[0, 3, 4, 5, 8, 10]","[1.7225602144187875, 1.095907851288607]"
13,"[0, 3, 5, 6, 8, 10]","[1.6377034466219955, 1.1236209932233758]"
13,"[0, 3, 5, 7, 9, 10]","[1.6881667965385825, 1.0844046551091115]"
13,"[0, 4, 5, 6, 8, 9]","[1.8881569325342957, 1.0492649046992202]"
13,"[0, 4, 5, 6, 9, 10]","[1.8845617470528158, 1.0539490736898647]"
13,"[0, 4, 6, 7, 8, 9]","[1.863121693990472, 1.054841894823973]"
13,"[0, 4, 6, 7, 9, 10]","[1.8590033391070926, 1.0606272209771628]"
13,"[0, 4, 6, 7, 10, 11]","[1.8567344893173798, 1.067050591109466]"
13,"[0, 4, 7, 8, 9, 10]","[1.8440155520772619, 1.068603139844886]"
13,"[0, 4, 7, 8, 10, 11]","[1.8415068531309862, 1.076572615792822]"
13,"[0, 4, 7, 8, 11, 12]","[1.8401210819235847, 1.0851064556263605]"
13,"[0, 3, 4, 5, 6, 7, 9, 10]","[1.7578592373535937, 1.0707016626869608]"
13,"[0, 3, 4, 5, 7, 8, 9, 10]","[1.7363148794767684, 1.0820382899845782]"
13,"[0, 3, 4, 5, 7, 8, 10, 11]","[1.7318671633623568, 1.0933736520546342]"
13,"[0, 3, 4, 5, 7, 8, 11, 12]","[1.72921185533426, 1.1054957776403043]"
13,"[0, 3, 5, 6, 7, 8, 9, 10]","[1.658608619544221, 1.1015023681194138]"
13,"[0, 3, 5, 6, 7, 8, 10, 11]","[1.651303014827179, 1.1185514272070596]"
13,"[0, 3, 5, 6, 8, 9, 10, 11]","[1.6289071971536742, 1.1465034079995506]"
13,"[0, 3, 5, 6, 8, 9, 11, 12]","[1.6230681110430187, 1.1694375419815817]"
14,"[0, 5, 8, 9]","[1.9306214983729453, 1.0744018036433787]"
14,"[0, 5, 9, 10]","[1.927678097639407, 1.0794223952053081]"
14,"[0, 4, 5, 6, 9, 10]","[1.8842537437774423, 1.0874310361585853]"
14,"[0, 4, 6, 7, 9, 10]","[1.858623816807752, 1.0965430817871133]"
14,"[0, 4, 6, 7, 10, 11]","[1.8563458483082447, 1.103909612766989]"
14,"[0, 4, 7, 8, 9, 10]","[1.8435818295657005, 1.1067105886149666]"
14,"[0, 4, 7, 8, 10, 11]","[1.8410613703870395, 1.115406080040559]"
14,"[0, 4, 7, 8, 11, 12]","[1.839668590768848, 1.1238930511007452]"
14,"[0, 3, 4, 5, 7, 8, 10, 11]","[1.7308261276758992, 1.1372892246071569]"
14,"[0, 3, 5, 6, 7, 8, 10, 11]","[1.649137041412216, 1.1682362461032103]"
14,"[0, 3, 5, 6, 8, 9, 10, 11]","[1.62608871897372, 1.1970473340401264]"
14,"[0, 3, 5, 6, 8, 9, 11, 12]","[1.6200061816361235, 1.216838550499448]"
14,"[0, 3, 5, 6, 8, 9, 11, 13]","[1.6259857464594445, 1.0390432307414017]"
15,"[0, 5, 8, 10]","[1.9336018156938994, 1.0352415060955389]"
15,"[0, 5, 9, 10]","[1.9275619754829305, 1.101025881809986]"
15,"[0, 5, 9, 11]","[1.929212945774852, 1.0405127439710182]"
15,"[0, 6, 8, 9]","[1.9702197053613055, 1.027484302782647]"
15,"[0, 6, 9, 10]","[1.9678591629370699, 1.0290133843615914]"
15,"[0, 6, 10, 11]","[1.9666450787905259, 1.0306600159015735]"
15,"[0, 6, 11, 12]","[1.9660233188449243, 1.0324260650051493]"
15,"[0, 3, 5, 6, 9, 12]","[1.6180339887498938, 1.1479804243567424]"
15,"[0, 4, 5, 6, 9, 11]","[1.8862609902799048, 1.0444691278941816]"
15,"[0, 4, 5, 6, 10, 12]","[1.8833131468048183, 1.0523907553086935]"
15,"[0, 4, 5, 7, 10, 11]","[1.9080781200686308, 1.0352594200279075]"
15,"[0, 4, 6, 7, 9, 11]","[1.8610180303315118, 1.0491245100987219]"
15,"[0, 4, 6, 7, 10, 11]","[1.8561356672383051, 1.1279304085955224]"
15,"[0, 4, 6, 7, 10, 12]","[1.8575739136904685, 1.058810584773204]"
15,"[0, 4, 6, 8, 10, 11]","[1.8723593158287613, 1.0413325589951148]"
15,"[0, 4, 6, 8, 11, 12]","[1.8712665610410468, 1.0445120027755028]"
15,"[0, 4, 7, 8, 9, 11]","[1.8462646327639556, 1.0546110838542821]"
15,"[0, 4, 7, 8, 10, 11]","[1.8408182858462134, 1.140039586147631]"
15,"[0, 4, 7, 8, 10, 12]","[1.8424525980720952, 1.066511664615579]"
15,"[0, 4, 7, 8, 11, 12]","[1.8394214728393998, 1.1480678333096697]"
15,"[0, 4, 7, 8, 11, 13]","[1.8403268168603943, 1.0813271699545433]"
15,"[0, 4, 7, 9, 10, 11]","[1.8506847201730587, 1.0495835630789554]"
15,"[0, 4, 7, 9, 11, 12]","[1.8494067647037196, 1.0540672295711158]"
15,"[0, 4, 7, 9, 12, 13]","[1.8487091185808466, 1.0589274660126073]"
15,"[0, 5, 6, 7, 9, 10]","[1.9491578765444673, 1.030885662791176]"
15,"[0, 5, 6, 7, 10, 11]","[1.9478135353279944, 1.0327532663068189]"
15,"[0, 5, 6, 7, 11, 12]","[1.9471177801161441, 1.0347639650709053]"
15,"[0, 5, 7, 8, 9, 10]","[1.9390275106099737, 1.0329557371040616]"
15,"[0, 5, 7, 8, 10, 11]","[1.9375982154402394, 1.0350795899448773]"
15,"[0, 5, 7, 8, 11, 12]","[1.9368541318134898, 1.0373743863003708]"
15,"[0, 5, 7, 8, 12, 13]","[1.9364679964724645, 1.0398350276766983]"
15,"[0, 5, 8, 9, 10, 11]","[1.9321201050613692, 1.0376604929561695]"
15,"[0, 5, 8, 9, 11, 12]","[1.9313462377812747, 1.0402821999416432]"
15,"[0, 5, 8, 9, 12, 13]","[1.9309434006339745, 1.0430976165709012]"
15,"[0, 5, 8, 9, 13, 14]","[1.930734130300756, 1.0460852117875936]"
15,"[0, 5, 9, 10, 11, 12]","[1.92842147076614, 1.043505100386783]"
15,"[0, 5, 9, 10, 12, 13]","[1.9280087798174923, 1.046719054698971]"
15,"[0, 5, 9, 10, 13, 14]","[1.9277940442149002, 1.0501216757355074]"
15,"[0, 3, 4, 5, 6, 7, 10, 12]","[1.7556513824221769, 1.0684731219039205]"
15,"[0, 3, 4, 5, 7, 8, 10, 12]","[1.7337950710180674, 1.0794582112552393]"
15,"[0, 3, 4, 5, 7, 8, 11, 13]","[1.7296606548218745, 1.10029776511513]"
15,"[0, 3, 4, 5, 7, 9, 11, 12]","[1.74539641953214, 1.062264244342174]"
15,"[0, 3, 4, 5, 8, 10, 11, 12]","[1.7246460527756762, 1.0811970185334903]"
15,"[0, 3, 4, 5, 8, 10, 12, 13]","[1.72303378743251, 1.0910027643246714]"
15,"[0, 3, 4, 5, 8, 10, 13, 14]","[1.7220838057390389, 1.1010258818099947]"
15,"[0, 3, 4, 6, 8, 9, 11, 12]","[1.7978383560196567, 1.0492362462546676]"
15,"[0, 3, 4, 6, 8, 9, 12, 13]","[1.7969395370599888, 1.0534016579041112]"
15,"[0, 3, 4, 6, 9, 10, 11, 12]","[1.7925411457460076, 1.0541693368713483]"
15,"[0, 3, 5, 6, 7, 8, 10, 12]","[1.654840518603885, 1.0984091364650888]"
15,"[0, 3, 5, 6, 7, 9, 11, 12]","[1.67271999185526, 1.0732890810124822]"
