n,beta,Itinerary_String
3,1.6180339887499,"[0, 2]"
4,1.8392867552142,"[0, 3]"
5,1.722083805739,"[0, 3]"
5,1.9275619754829,"[0, 4]"
5,1.5128763968641,"[0, 2, 3, 4]"
6,1.8832035059135,"[0, 4]"
6,1.9659482366455,"[0, 5]"
6,1.2720196495141,"[0, 2, 3, 4]"
6,1.7924023578249,"[0, 3, 4, 5]"
7,1.8558859986662,"[0, 4]"
7,1.9468562682719,"[0, 5]"
7,1.9835828434243,"[0, 6]"
7,1.5560301913227,"[0, 2, 3, 5]"
7,1.7548776662467,"[0, 3, 4, 5]"
7,1.8239445000071,"[0, 3, 4, 6]"
7,1.6859261507712,"[0, 3, 5, 6]"
7,1.9073421088248,"[0, 4, 5, 6]"
7,1.4655712318768,"[0, 2, 3, 4, 5, 6]"
8,1.9363232023554,"[0, 5]"
8,1.9748187082977,"[0, 6]"
8,1.991964196605,"[0, 7]"
8,1.729118723335,"[0, 3, 4, 5]"
8,1.8070919722278,"[0, 3, 4, 6]"
8,1.6483040896869,"[0, 3, 5, 6]"
8,1.7156508233492,"[0, 3, 5, 7]"
8,1.8949452241594,"[0, 4, 5, 6]"
8,1.9189279743655,"[0, 4, 5, 7]"
8,1.8709430753367,"[0, 4, 6, 7]"
8,1.9568127734487,"[0, 5, 6, 7]"
8,1.3562030656263,"[0, 2, 3, 4, 5, 6]"
8,1.5972092639184,"[0, 2, 3, 5, 6, 7]"
8,1.7768889367493,"[0, 3, 4, 5, 6, 7]"
9,1.9306130703887,"[0, 5]"
9,1.9702101544849,"[0, 6]"
9,1.9877931668462,"[0, 7]"
9,1.9960311797354,"[0, 8]"
9,1.7969160576805,"[0, 3, 4, 6]"
9,1.8310758251023,"[0, 3, 4, 7]"
9,1.6180339887499,"[0, 3, 5, 6]"
9,1.6988814692755,"[0, 3, 5, 7]"
9,1.8880012890792,"[0, 4, 5, 6]"
9,1.9129649019936,"[0, 4, 5, 7]"
9,1.9246667702058,"[0, 4, 5, 8]"
9,1.8630319208297,"[0, 4, 6, 7]"
9,1.8784380473978,"[0, 4, 6, 8]"
9,1.8484808021185,"[0, 4, 7, 8]"
9,1.9517789066031,"[0, 5, 6, 7]"
9,1.9616893204215,"[0, 5, 6, 8]"
9,1.9418244062609,"[0, 5, 7, 8]"
9,1.9792970195203,"[0, 6, 7, 8]"
9,1.4874760014608,"[0, 2, 3, 4, 5, 7]"
9,1.5723815136814,"[0, 2, 3, 5, 6, 7]"
9,1.5382818870119,"[0, 2, 3, 5, 7, 8]"
9,1.7647995673787,"[0, 3, 4, 5, 6, 7]"
9,1.7879891773301,"[0, 3, 4, 5, 6, 8]"
9,1.7444304896846,"[0, 3, 4, 5, 7, 8]"
9,1.8165767018302,"[0, 3, 4, 6, 7, 8]"
9,1.6720245252201,"[0, 3, 5, 6, 7, 8]"
9,1.901573813258,"[0, 4, 5, 6, 7, 8]"
9,1.4413154821907,"[0, 2, 3, 4, 5, 6, 7, 8]"
