n,beta,Itinerary_String
21,1.9990191166244,"[0, 11]"
21,1.9995112429148,"[0, 12]"
21,1.9997564285184,"[0, 13]"
21,1.9998787808907,"[0, 14]"
21,1.9999398915694,"[0, 15]"
21,1.9999704291579,"[0, 16]"
21,1.999985693166,"[0, 17]"
21,1.999993323885,"[0, 18]"
21,1.9999971389006,"[0, 19]"
21,1.9999990463166,"[0, 20]"
21,1.9702008076292,"[0, 6, 9, 15]"
21,1.9677716800555,"[0, 6, 10, 15]"
21,1.9678139390812,"[0, 6, 10, 16]"
21,1.9665170832794,"[0, 6, 11, 15]"
21,1.9665599841287,"[0, 6, 11, 16]"
21,1.9918660479239,"[0, 7, 8, 14]"
21,1.9919320229463,"[0, 7, 8, 15]"
21,1.987682032698,"[0, 7, 9, 14]"
21,1.9877508714317,"[0, 7, 9, 15]"
21,1.9877854786362,"[0, 7, 9, 16]"
21,1.9855262783313,"[0, 7, 10, 14]"
21,1.9855967267247,"[0, 7, 10, 15]"
21,1.9856321808833,"[0, 7, 10, 16]"
21,1.9856500292828,"[0, 7, 10, 17]"
21,1.9844252796892,"[0, 7, 11, 14]"
21,1.984496607357,"[0, 7, 11, 15]"
21,1.9845325235316,"[0, 7, 11, 16]"
21,1.9845506144295,"[0, 7, 11, 17]"
21,1.983866015569,"[0, 7, 12, 14]"
21,1.983937815298,"[0, 7, 12, 15]"
21,1.9839739791402,"[0, 7, 12, 16]"
21,1.9839921998557,"[0, 7, 12, 17]"
21,1.9840013817487,"[0, 7, 12, 18]"
21,1.9835828434243,"[0, 7, 13, 14]"
21,1.983654893948,"[0, 7, 13, 15]"
21,1.9836911891679,"[0, 7, 13, 16]"
21,1.9837094786507,"[0, 7, 13, 17]"
21,1.9837186965018,"[0, 7, 13, 18]"
21,1.9837233427174,"[0, 7, 13, 19]"
21,1.9957857287384,"[0, 8, 9, 13]"
21,1.9959128039816,"[0, 8, 9, 14]"
21,1.9959763963984,"[0, 8, 9, 15]"
21,1.9960082363163,"[0, 8, 9, 16]"
21,1.99602418262,"[0, 8, 9, 17]"
21,1.9937514038001,"[0, 8, 10, 13]"
21,1.9938811160309,"[0, 8, 10, 14]"
21,1.993946092297,"[0, 8, 10, 15]"
21,1.9939786576784,"[0, 8, 10, 16]"
21,1.9939949837651,"[0, 8, 10, 17]"
21,1.99400316984,"[0, 8, 10, 18]"
21,1.9927177278358,"[0, 8, 11, 13]"
21,1.9928488737182,"[0, 8, 11, 14]"
21,1.9929146010812,"[0, 8, 11, 15]"
21,1.9929475596517,"[0, 8, 11, 16]"
21,1.9929640913216,"[0, 8, 11, 17]"
21,1.9929723847425,"[0, 8, 11, 18]"
21,1.9921951568977,"[0, 8, 12, 13]"
21,1.9923270696787,"[0, 8, 12, 14]"
21,1.9923931981113,"[0, 8, 12, 15]"
21,1.9924263663073,"[0, 8, 12, 16]"
21,1.9924430074292,"[0, 8, 12, 17]"
21,1.9924513579294,"[0, 8, 12, 18]"
21,1.9924555485638,"[0, 8, 12, 19]"
21,1.9920640811806,"[0, 8, 13, 14]"
21,1.9921304216681,"[0, 8, 13, 15]"
21,1.9921637005243,"[0, 8, 13, 16]"
21,1.992180399343,"[0, 8, 13, 17]"
21,1.9921887798932,"[0, 8, 13, 18]"
21,1.9921929861605,"[0, 8, 13, 19]"
21,1.992195097419,"[0, 8, 13, 20]"
21,1.991998214132,"[0, 8, 14, 15]"
21,1.9920315510503,"[0, 8, 14, 16]"
21,1.9920482801001,"[0, 8, 14, 17]"
21,1.9920566763755,"[0, 8, 14, 18]"
21,1.9920608908137,"[0, 8, 14, 19]"
21,1.9920630063135,"[0, 8, 14, 20]"
21,1.9919651294769,"[0, 8, 15, 16]"
21,1.9919818743058,"[0, 8, 15, 17]"
21,1.9919902787788,"[0, 8, 15, 18]"
21,1.991994497472,"[0, 8, 15, 19]"
21,1.991996615178,"[0, 8, 15, 20]"
21,1.9975329065688,"[0, 9, 10, 12]"
21,1.9977827568892,"[0, 9, 10, 13]"
21,1.997907554146,"[0, 9, 10, 14]"
21,1.9979699457581,"[0, 9, 10, 15]"
21,1.9980011537078,"[0, 9, 10, 16]"
21,1.9980167680348,"[0, 9, 10, 17]"
21,1.9980245815397,"[0, 9, 10, 18]"
21,1.9980284917791,"[0, 9, 10, 19]"
21,1.9965300422429,"[0, 9, 11, 12]"
21,1.9967824260873,"[0, 9, 11, 13]"
21,1.9969085485371,"[0, 9, 11, 14]"
21,1.9969716332611,"[0, 9, 11, 15]"
21,1.9970032034111,"[0, 9, 11, 16]"
21,1.9970190067784,"[0, 9, 11, 17]"
21,1.997026918811,"[0, 9, 11, 18]"
21,1.9970308803308,"[0, 9, 11, 19]"
21,1.9962778931823,"[0, 9, 12, 13]"
21,1.9964047227163,"[0, 9, 12, 14]"
21,1.9964681765994,"[0, 9, 12, 15]"
21,1.9964999393542,"[0, 9, 12, 16]"
21,1.9965158431032,"[0, 9, 12, 17]"
21,1.9965238073881,"[0, 9, 12, 18]"
21,1.9965277960723,"[0, 9, 12, 19]"
21,1.9965297937785,"[0, 9, 12, 20]"
21,1.9961513579341,"[0, 9, 13, 14]"
21,1.9962150065574,"[0, 9, 13, 15]"
21,1.9962468707544,"[0, 9, 13, 16]"
21,1.996262827297,"[0, 9, 13, 17]"
21,1.9962708190267,"[0, 9, 13, 18]"
21,1.9962748219614,"[0, 9, 13, 19]"
21,1.9962768270586,"[0, 9, 13, 20]"
21,1.996087905477,"[0, 9, 14, 15]"
21,1.9961198227867,"[0, 9, 14, 16]"
21,1.9961358069322,"[0, 9, 14, 17]"
21,1.9961438129929,"[0, 9, 14, 18]"
21,1.9961478233601,"[0, 9, 14, 19]"
21,1.9961498323078,"[0, 9, 14, 20]"
21,1.9960560997485,"[0, 9, 15, 16]"
21,1.9960720982719,"[0, 9, 15, 17]"
21,1.9960801117882,"[0, 9, 15, 18]"
21,1.9960841260177,"[0, 9, 15, 19]"
21,1.9960861369642,"[0, 9, 15, 20]"
21,1.99604016073,"[0, 9, 16, 17]"
21,1.9960481781154,"[0, 9, 16, 18]"
21,1.996052194347,"[0, 9, 16, 19]"
21,1.9960542063286,"[0, 9, 16, 20]"
21,1.9960321741262,"[0, 9, 17, 18]"
21,1.9960361913939,"[0, 9, 17, 19]"
21,1.9960382039106,"[0, 9, 17, 20]"
21,1.9985252787152,"[0, 10, 11, 12]"
21,1.9987728978841,"[0, 10, 11, 13]"
21,1.998896522247,"[0, 10, 11, 14]"
21,1.9989582976893,"[0, 10, 11, 15]"
21,1.9989891823775,"[0, 10, 11, 16]"
21,1.9990046273904,"[0, 10, 11, 17]"
21,1.9990123523672,"[0, 10, 11, 18]"
21,1.9990162163975,"[0, 10, 11, 19]"
